JDTDB,CalendarDate(TDB),X,Y,Z
2378496.500000000, A.D. 1800-Jan-01 00:00:00.0000,  3.632757399042329E+01, -1.185472447690595E+01, -1.464095177964688E+01
2378596.500000000, A.D. 1800-Apr-11 00:00:00.0000,  3.647795081087661E+01, -1.163971614852814E+01, -1.461940270548652E+01
2378696.500000000, A.D. 1800-Jul-20 00:00:00.0000,  3.662676921080325E+01, -1.142432087603598E+01, -1.459730265173053E+01
2378796.500000000, A.D. 1800-Oct-28 00:00:00.0000,  3.677408826491648E+01, -1.120850371783800E+01, -1.457461948336849E+01
2378896.500000000, A.D. 1801-Feb-05 00:00:00.0000,  3.691986503908091E+01, -1.099231187539499E+01, -1.455131839323007E+01
2378996.500000000, A.D. 1801-May-16 00:00:00.0000,  3.706413429641534E+01, -1.077576081179189E+01, -1.452748257025242E+01
2379096.500000000, A.D. 1801-Aug-24 00:00:00.0000,  3.720695295342617E+01, -1.055878750703682E+01, -1.450305279513297E+01
2379196.500000000, A.D. 1801-Dec-02 00:00:00.0000,  3.734825451137950E+01, -1.034145299414236E+01, -1.447801209382325E+01
2379296.500000000, A.D. 1802-Mar-12 00:00:00.0000,  3.748808786852450E+01, -1.012375071831202E+01, -1.445243598102256E+01
2379396.500000000, A.D. 1802-Jun-20 00:00:00.0000,  3.762648589695624E+01, -9.905637422533067E+00, -1.442625925600460E+01
2379496.500000000, A.D. 1802-Sep-28 00:00:00.0000,  3.776340224487191E+01, -9.687161695556952E+00, -1.439947459089077E+01
2379596.500000000, A.D. 1803-Jan-06 00:00:00.0000,  3.789885684896948E+01, -9.468301433872515E+00, -1.437214740305808E+01
2379696.500000000, A.D. 1803-Apr-16 00:00:00.0000,  3.803288892757829E+01, -9.249041617203094E+00, -1.434421451040660E+01
2379796.500000000, A.D. 1803-Jul-25 00:00:00.0000,  3.816544517858244E+01, -9.029413245173066E+00, -1.431567448337695E+01
2379896.500000000, A.D. 1803-Nov-02 00:00:00.0000,  3.829655464825593E+01, -8.809394769351666E+00, -1.428658901368632E+01
2379996.500000000, A.D. 1804-Feb-10 00:00:00.0000,  3.842623003252757E+01, -8.588963472590986E+00, -1.425688167272114E+01
2380096.500000000, A.D. 1804-May-20 00:00:00.0000,  3.855441601721851E+01, -8.368179339922392E+00, -1.422657870521383E+01
2380196.500000000, A.D. 1804-Aug-28 00:00:00.0000,  3.868116650960437E+01, -8.146990058374460E+00, -1.419572156200268E+01
2380296.500000000, A.D. 1804-Dec-06 00:00:00.0000,  3.880645080441555E+01, -7.925390399988105E+00, -1.416423332822156E+01
2380396.500000000, A.D. 1805-Mar-16 00:00:00.0000,  3.893023284727515E+01, -7.703443227510695E+00, -1.413215808815967E+01
2380496.500000000, A.D. 1805-Jun-24 00:00:00.0000,  3.905255566632970E+01, -7.481092736989106E+00, -1.409952425362362E+01
2380596.500000000, A.D. 1805-Oct-02 00:00:00.0000,  3.917339668168530E+01, -7.258345957162284E+00, -1.406625747232096E+01
2380696.500000000, A.D. 1806-Jan-10 00:00:00.0000,  3.929269621202322E+01, -7.035247351062842E+00, -1.403240713180805E+01
2380796.500000000, A.D. 1806-Apr-20 00:00:00.0000,  3.941050662218617E+01, -6.811770293425236E+00, -1.399800309698913E+01
2380896.500000000, A.D. 1806-Jul-29 00:00:00.0000,  3.952680132041519E+01, -6.587913002389331E+00, -1.396296554362590E+01
2380996.500000000, A.D. 1806-Nov-06 00:00:00.0000,  3.964151698754557E+01, -6.363729867860813E+00, -1.392736143195562E+01
2381096.500000000, A.D. 1807-Feb-14 00:00:00.0000,  3.975470976073499E+01, -6.139183924285509E+00, -1.389120308763365E+01
2381196.500000000, A.D. 1807-May-25 00:00:00.0000,  3.986633072555775E+01, -5.914309320999974E+00, -1.385442702511504E+01
2381296.500000000, A.D. 1807-Sep-02 00:00:00.0000,  3.997635667227713E+01, -5.689144571728441E+00, -1.381710635600804E+01
2381396.500000000, A.D. 1807-Dec-11 00:00:00.0000,  4.008481086137229E+01, -5.463650513515730E+00, -1.377923621974470E+01
2381496.500000000, A.D. 1808-Mar-20 00:00:00.0000,  4.019165404197024E+01, -5.237895371886228E+00, -1.374077421025395E+01
2381596.500000000, A.D. 1808-Jun-28 00:00:00.0000,  4.029687227258598E+01, -5.011903058467392E+00, -1.370179547413433E+01
2381696.500000000, A.D. 1808-Oct-06 00:00:00.0000,  4.040050255996163E+01, -4.785650836661779E+00, -1.366228807042296E+01
2381796.500000000, A.D. 1809-Jan-14 00:00:00.0000,  4.050249282082150E+01, -4.559198090307214E+00, -1.362221298696592E+01
2381896.500000000, A.D. 1809-Apr-24 00:00:00.0000,  4.060284422156690E+01, -4.332593326448359E+00, -1.358166319551200E+01
2381996.500000000, A.D. 1809-Aug-02 00:00:00.0000,  4.070162063302087E+01, -4.105797455075122E+00, -1.354060521418731E+01
2382096.500000000, A.D. 1809-Nov-10 00:00:00.0000,  4.079875000226598E+01, -3.878881078989932E+00, -1.349901411577058E+01
2382196.500000000, A.D. 1810-Feb-18 00:00:00.0000,  4.089426660303076E+01, -3.651880854175502E+00, -1.345698353551347E+01
2382296.500000000, A.D. 1810-May-29 00:00:00.0000,  4.098822069214270E+01, -3.424767478670579E+00, -1.341446843364968E+01
2382396.500000000, A.D. 1810-Sep-06 00:00:00.0000,  4.108057443063837E+01, -3.197612585093913E+00, -1.337145816259982E+01
2382496.500000000, A.D. 1810-Dec-15 00:00:00.0000,  4.117135419291922E+01, -2.970416986827118E+00, -1.332803096805800E+01
2382596.500000000, A.D. 1811-Mar-25 00:00:00.0000,  4.126061361273882E+01, -2.743179639572885E+00, -1.328414184261964E+01
2382696.500000000, A.D. 1811-Jul-03 00:00:00.0000,  4.134832639759886E+01, -2.515948272819887E+00, -1.323978309809085E+01
2382796.500000000, A.D. 1811-Oct-11 00:00:00.0000,  4.143452642709055E+01, -2.288717012268854E+00, -1.319502840658257E+01
2382896.500000000, A.D. 1812-Jan-19 00:00:00.0000,  4.151925943879900E+01, -2.061467745967377E+00, -1.314981430789080E+01
2382996.500000000, A.D. 1812-Apr-28 00:00:00.0000,  4.160248439776497E+01, -1.834266351442277E+00, -1.310415487664863E+01
2383096.500000000, A.D. 1812-Aug-06 00:00:00.0000,  4.168427548166314E+01, -1.607079918494303E+00, -1.305810868867206E+01
2383196.500000000, A.D. 1812-Nov-14 00:00:00.0000,  4.176463683111455E+01, -1.379884134853523E+00, -1.301159859635380E+01
2383296.500000000, A.D. 1813-Feb-22 00:00:00.0000,  4.184354029550556E+01, -1.152751392558503E+00, -1.296465825620812E+01
2383396.500000000, A.D. 1813-Jun-02 00:00:00.0000,  4.192105355848935E+01, -9.256289298279483E-01, -1.291732877039900E+01
2383496.500000000, A.D. 1813-Sep-10 00:00:00.0000,  4.199718191256196E+01, -6.985086184424751E-01, -1.286953396467239E+01
2383596.500000000, A.D. 1813-Dec-19 00:00:00.0000,  4.207188418144458E+01, -4.714312749825524E-01, -1.282130842083710E+01
2383696.500000000, A.D. 1814-Mar-29 00:00:00.0000,  4.214522051420796E+01, -2.443669488223534E-01, -1.277269320786136E+01
2383796.500000000, A.D. 1814-Jul-07 00:00:00.0000,  4.221720424364175E+01, -1.729883203385504E-02, -1.272360461544558E+01
2383896.500000000, A.D. 1814-Oct-15 00:00:00.0000,  4.228777921722266E+01,  2.097348654007911E-01, -1.267408969105342E+01
2383996.500000000, A.D. 1815-Jan-23 00:00:00.0000,  4.235701475675668E+01,  4.367770270092305E-01, -1.262417304716354E+01
2384096.500000000, A.D. 1815-May-03 00:00:00.0000,  4.242488839846586E+01,  6.638239156740536E-01, -1.257377707527490E+01
2384196.500000000, A.D. 1815-Aug-11 00:00:00.0000,  4.249137982694195E+01,  8.908418830561701E-01, -1.252296167082044E+01
2384296.500000000, A.D. 1815-Nov-19 00:00:00.0000,  4.255653027693015E+01,  1.117897479560921E+00, -1.247172609430624E+01
2384396.500000000, A.D. 1816-Feb-27 00:00:00.0000,  4.262030689439488E+01,  1.344950424295835E+00, -1.242001136371466E+01
2384496.500000000, A.D. 1816-Jun-06 00:00:00.0000,  4.268270070441626E+01,  1.571988444485622E+00, -1.236787914749967E+01
2384596.500000000, A.D. 1816-Sep-14 00:00:00.0000,  4.274374977354112E+01,  1.799065612529464E+00, -1.231531937074069E+01
2384696.500000000, A.D. 1816-Dec-23 00:00:00.0000,  4.280340977917025E+01,  2.026154285887452E+00, -1.226227260408267E+01
2384796.500000000, A.D. 1817-Apr-02 00:00:00.0000,  4.286165785659493E+01,  2.253224537061486E+00, -1.220881672205047E+01
2384896.500000000, A.D. 1817-Jul-11 00:00:00.0000,  4.291855744311985E+01,  2.480334515561716E+00, -1.215492574250201E+01
2384996.500000000, A.D. 1817-Oct-19 00:00:00.0000,  4.297402918529836E+01,  2.707453483643154E+00, -1.210054752195183E+01
2385096.500000000, A.D. 1818-Jan-27 00:00:00.0000,  4.302806984625506E+01,  2.934549339553141E+00, -1.204576934965681E+01
2385196.500000000, A.D. 1818-May-07 00:00:00.0000,  4.308072087913811E+01,  3.161675639151350E+00, -1.199055057732028E+01
2385296.500000000, A.D. 1818-Aug-15 00:00:00.0000,  4.313191820463423E+01,  3.388778424450646E+00, -1.193486010236276E+01
2385396.500000000, A.D. 1818-Nov-23 00:00:00.0000,  4.318165592806493E+01,  3.615860253510325E+00, -1.187877364424133E+01
2385496.500000000, A.D. 1819-Mar-03 00:00:00.0000,  4.322995565887914E+01,  3.842935388408499E+00, -1.182225309315983E+01
2385596.500000000, A.D. 1819-Jun-11 00:00:00.0000,  4.327676984749989E+01,  4.069952273279788E+00, -1.176527869116547E+01
2385696.500000000, A.D. 1819-Sep-19 00:00:00.0000,  4.332209156985373E+01,  4.296910894579751E+00, -1.170792768619299E+01
2385796.500000000, A.D. 1819-Dec-28 00:00:00.0000,  4.336594729242774E+01,  4.523824202224263E+00, -1.165015043985486E+01
